,reward,difficulty,duration,mobile,social,web,bogo,discount,informational,age,income,F,M,O,days_since_member
30939,10,10,7,1,1,0,1,0,0,89,67000.0,1,0,0,1598
42652,0,0,3,1,1,0,0,0,1,62,76000.0,1,0,0,999
15040,0,0,3,1,1,0,0,0,1,54,61000.0,0,1,0,941
11101,0,0,4,1,0,1,0,0,1,53,73000.0,0,1,0,1252
8538,0,0,3,1,1,0,0,0,1,50,73000.0,0,1,0,1293
11283,0,0,3,1,1,0,0,0,1,45,56000.0,1,0,0,1606
36976,5,5,7,1,0,1,1,0,0,86,90000.0,0,1,0,1034
621,10,10,5,1,1,1,1,0,0,21,44000.0,1,0,0,1060
2024,10,10,7,1,1,0,1,0,0,45,52000.0,0,1,0,1741
39137,0,0,3,1,1,0,0,0,1,38,32000.0,0,1,0,1512
32832,0,0,3,1,1,0,0,0,1,59,60000.0,0,1,0,955
25997,2,10,10,1,1,1,0,1,0,55,57000.0,0,1,0,1477
41169,10,10,5,1,1,1,1,0,0,61,99000.0,1,0,0,1509
36013,10,10,5,1,1,1,1,0,0,63,101000.0,0,1,0,1792
17016,0,0,3,1,1,0,0,0,1,23,36000.0,0,1,0,1039
22163,0,0,3,1,1,0,0,0,1,54,81000.0,1,0,0,1737
22901,5,20,10,0,0,1,0,1,0,65,112000.0,1,0,0,1473
29669,5,5,5,1,1,1,1,0,0,30,31000.0,0,1,0,1461
28407,2,10,10,1,1,1,0,1,0,31,64000.0,0,1,0,1556
19222,5,5,5,1,1,1,1,0,0,25,48000.0,1,0,0,693
26227,5,20,10,0,0,1,0,1,0,77,88000.0,0,1,0,1375
16048,3,7,7,1,1,1,0,1,0,61,106000.0,0,1,0,1649
22956,5,5,5,1,1,1,1,0,0,39,32000.0,0,0,1,302
6573,2,10,7,1,0,1,0,1,0,51,77000.0,1,0,0,1540
17680,0,0,4,1,0,1,0,0,1,51,87000.0,0,1,0,1552
19338,0,0,4,1,0,1,0,0,1,44,62000.0,0,1,0,1301
649,2,10,10,1,1,1,0,1,0,55,72000.0,0,1,0,1405
12786,0,0,3,1,1,0,0,0,1,60,107000.0,1,0,0,1548
25205,3,7,7,1,1,1,0,1,0,91,88000.0,1,0,0,955
22880,10,10,7,1,1,0,1,0,0,34,32000.0,0,1,0,215
4243,3,7,7,1,1,1,0,1,0,26,32000.0,1,0,0,1613
2890,10,10,5,1,1,1,1,0,0,51,81000.0,0,1,0,870
8882,3,7,7,1,1,1,0,1,0,70,98000.0,0,1,0,1513
44601,0,0,4,1,0,1,0,0,1,64,100000.0,0,1,0,1585
35102,0,0,3,1,1,0,0,0,1,87,83000.0,1,0,0,1561
36992,2,10,10,1,1,1,0,1,0,69,45000.0,1,0,0,260
40078,2,10,7,1,0,1,0,1,0,33,34000.0,0,1,0,73
18845,10,10,7,1,1,0,1,0,0,26,70000.0,0,1,0,1804
10824,0,0,3,1,1,0,0,0,1,76,64000.0,0,1,0,1304
25938,2,10,7,1,0,1,0,1,0,65,71000.0,0,1,0,1546
31805,10,10,7,1,1,0,1,0,0,69,110000.0,1,0,0,1101
22731,10,10,7,1,1,0,1,0,0,67,34000.0,1,0,0,728
17417,5,5,7,1,0,1,1,0,0,27,33000.0,1,0,0,1590
30927,0,0,4,1,0,1,0,0,1,42,53000.0,0,1,0,1821
39765,10,10,7,1,1,0,1,0,0,67,96000.0,0,1,0,390
6024,3,7,7,1,1,1,0,1,0,46,31000.0,1,0,0,1536
37273,2,10,7,1,0,1,0,1,0,64,45000.0,0,1,0,1608
30106,5,5,5,1,1,1,1,0,0,58,77000.0,1,0,0,1122
131,2,10,10,1,1,1,0,1,0,67,71000.0,0,1,0,1580
34675,2,10,7,1,0,1,0,1,0,52,60000.0,0,1,0,1708
16353,5,5,7,1,0,1,1,0,0,67,73000.0,0,1,0,838
35022,10,10,7,1,1,0,1,0,0,77,62000.0,1,0,0,1395
22285,2,10,10,1,1,1,0,1,0,59,54000.0,0,1,0,543
22109,5,20,10,0,0,1,0,1,0,71,105000.0,1,0,0,1402
12802,5,5,5,1,1,1,1,0,0,39,42000.0,0,0,1,1774
19819,0,0,3,1,1,0,0,0,1,25,67000.0,0,1,0,1636
19844,5,20,10,0,0,1,0,1,0,84,95000.0,0,1,0,1228
4251,0,0,3,1,1,0,0,0,1,37,72000.0,0,1,0,1791
32949,5,20,10,0,0,1,0,1,0,77,57000.0,1,0,0,77
38768,10,10,7,1,1,0,1,0,0,54,60000.0,0,1,0,302
13213,3,7,7,1,1,1,0,1,0,66,71000.0,0,1,0,1698
6516,2,10,7,1,0,1,0,1,0,49,61000.0,0,1,0,610
25304,0,0,4,1,0,1,0,0,1,31,69000.0,1,0,0,1661
34507,5,20,10,0,0,1,0,1,0,91,58000.0,0,1,0,263
10736,10,10,7,1,1,0,1,0,0,74,55000.0,0,1,0,92
6829,2,10,10,1,1,1,0,1,0,61,106000.0,0,1,0,1041
16311,10,10,7,1,1,0,1,0,0,62,104000.0,1,0,0,1534
18327,5,5,7,1,0,1,1,0,0,46,72000.0,0,1,0,1427
25789,10,10,5,1,1,1,1,0,0,92,106000.0,0,1,0,1158
1216,10,10,7,1,1,0,1,0,0,45,80000.0,1,0,0,275
36235,5,5,5,1,1,1,1,0,0,61,98000.0,0,0,1,1192
16747,0,0,4,1,0,1,0,0,1,54,119000.0,1,0,0,1505
36589,2,10,10,1,1,1,0,1,0,63,99000.0,0,1,0,1124
19216,10,10,5,1,1,1,1,0,0,48,67000.0,0,1,0,1002
9780,10,10,7,1,1,0,1,0,0,57,113000.0,1,0,0,1153
23164,5,5,7,1,0,1,1,0,0,53,93000.0,1,0,0,1268
3732,5,5,7,1,0,1,1,0,0,80,61000.0,0,1,0,1677
15610,5,5,5,1,1,1,1,0,0,44,32000.0,1,0,0,1637
24576,2,10,10,1,1,1,0,1,0,45,61000.0,1,0,0,631
28824,10,10,5,1,1,1,1,0,0,92,94000.0,1,0,0,1505
30953,10,10,5,1,1,1,1,0,0,48,99000.0,1,0,0,86
18837,2,10,10,1,1,1,0,1,0,45,43000.0,0,1,0,1728
33908,2,10,10,1,1,1,0,1,0,22,41000.0,0,1,0,1037
38025,10,10,5,1,1,1,1,0,0,73,77000.0,1,0,0,1361
17837,3,7,7,1,1,1,0,1,0,70,92000.0,1,0,0,1564
5123,5,5,5,1,1,1,1,0,0,66,79000.0,0,1,0,1644
28883,10,10,5,1,1,1,1,0,0,52,84000.0,1,0,0,732
21617,10,10,5,1,1,1,1,0,0,31,47000.0,0,1,0,1456
37325,5,5,5,1,1,1,1,0,0,51,60000.0,1,0,0,1765
23076,2,10,10,1,1,1,0,1,0,67,71000.0,1,0,0,1476
12758,2,10,10,1,1,1,0,1,0,59,68000.0,0,1,0,757
3257,5,5,5,1,1,1,1,0,0,62,76000.0,0,1,0,1433
1829,2,10,10,1,1,1,0,1,0,20,37000.0,0,1,0,1486
18231,3,7,7,1,1,1,0,1,0,55,103000.0,1,0,0,1424
3726,10,10,5,1,1,1,1,0,0,54,48000.0,1,0,0,479
37190,3,7,7,1,1,1,0,1,0,24,71000.0,0,1,0,1625
22849,5,5,5,1,1,1,1,0,0,47,62000.0,0,1,0,1608
37356,5,5,7,1,0,1,1,0,0,67,57000.0,0,1,0,1105
16584,0,0,4,1,0,1,0,0,1,58,70000.0,0,1,0,448
5569,0,0,3,1,1,0,0,0,1,29,33000.0,1,0,0,928
32722,0,0,4,1,0,1,0,0,1,54,86000.0,1,0,0,1378
15789,5,5,7,1,0,1,1,0,0,38,51000.0,0,1,0,1810
7021,2,10,7,1,0,1,0,1,0,30,40000.0,0,1,0,530
15114,2,10,7,1,0,1,0,1,0,53,54000.0,1,0,0,1689
37986,10,10,5,1,1,1,1,0,0,57,114000.0,1,0,0,1436
9033,10,10,5,1,1,1,1,0,0,68,30000.0,0,1,0,1130
6384,5,5,5,1,1,1,1,0,0,57,64000.0,1,0,0,1198
22338,5,5,7,1,0,1,1,0,0,52,89000.0,1,0,0,1608
32778,2,10,7,1,0,1,0,1,0,21,58000.0,1,0,0,1684
20407,5,20,10,0,0,1,0,1,0,61,57000.0,0,1,0,1103
44188,5,5,7,1,0,1,1,0,0,56,30000.0,1,0,0,1533
13829,2,10,10,1,1,1,0,1,0,46,32000.0,0,1,0,980
25973,3,7,7,1,1,1,0,1,0,43,38000.0,1,0,0,116
21706,0,0,4,1,0,1,0,0,1,70,35000.0,1,0,0,1796
15805,5,5,5,1,1,1,1,0,0,62,113000.0,1,0,0,1093
6276,10,10,5,1,1,1,1,0,0,50,82000.0,1,0,0,1321
8612,2,10,10,1,1,1,0,1,0,61,82000.0,1,0,0,1023
818,2,10,10,1,1,1,0,1,0,31,35000.0,0,0,1,1331
28232,5,20,10,0,0,1,0,1,0,46,59000.0,0,1,0,1648
30506,3,7,7,1,1,1,0,1,0,45,54000.0,0,1,0,288
24052,2,10,10,1,1,1,0,1,0,73,75000.0,1,0,0,1793
19858,10,10,7,1,1,0,1,0,0,73,101000.0,1,0,0,774
34581,0,0,4,1,0,1,0,0,1,89,56000.0,0,1,0,1202
39264,10,10,7,1,1,0,1,0,0,36,45000.0,0,1,0,1573
21229,2,10,7,1,0,1,0,1,0,60,61000.0,1,0,0,1160
32479,0,0,4,1,0,1,0,0,1,58,77000.0,1,0,0,1314
34171,10,10,5,1,1,1,1,0,0,53,57000.0,0,1,0,1530
23664,10,10,5,1,1,1,1,0,0,81,81000.0,0,1,0,1684
3609,2,10,10,1,1,1,0,1,0,64,68000.0,0,1,0,801
6966,10,10,5,1,1,1,1,0,0,66,115000.0,1,0,0,908
25369,2,10,10,1,1,1,0,1,0,61,76000.0,1,0,0,887
16524,5,5,7,1,0,1,1,0,0,48,71000.0,0,1,0,657
21451,3,7,7,1,1,1,0,1,0,86,58000.0,0,1,0,745
15643,5,5,7,1,0,1,1,0,0,50,68000.0,0,1,0,1492
4681,3,7,7,1,1,1,0,1,0,49,58000.0,1,0,0,1584
8659,2,10,10,1,1,1,0,1,0,57,95000.0,0,1,0,1526
14968,0,0,4,1,0,1,0,0,1,61,117000.0,0,1,0,1465
15978,10,10,7,1,1,0,1,0,0,21,32000.0,0,1,0,1313
14183,5,5,5,1,1,1,1,0,0,74,69000.0,0,1,0,1095
21481,2,10,7,1,0,1,0,1,0,72,68000.0,0,1,0,1636
29867,0,0,3,1,1,0,0,0,1,44,60000.0,0,1,0,1520
19950,2,10,7,1,0,1,0,1,0,78,44000.0,1,0,0,1197
17652,2,10,10,1,1,1,0,1,0,71,47000.0,0,1,0,1212
5597,0,0,4,1,0,1,0,0,1,78,92000.0,1,0,0,876
4752,10,10,5,1,1,1,1,0,0,51,70000.0,0,1,0,1530
32401,0,0,4,1,0,1,0,0,1,60,88000.0,1,0,0,1596
7658,3,7,7,1,1,1,0,1,0,41,59000.0,0,1,0,1499
25805,3,7,7,1,1,1,0,1,0,32,35000.0,0,1,0,1500
35490,5,5,5,1,1,1,1,0,0,30,49000.0,0,1,0,1044
20451,10,10,5,1,1,1,1,0,0,30,59000.0,0,1,0,1409
33310,2,10,10,1,1,1,0,1,0,85,88000.0,1,0,0,1227
42146,10,10,5,1,1,1,1,0,0,56,74000.0,1,0,0,863
41095,2,10,10,1,1,1,0,1,0,66,66000.0,1,0,0,1176
8931,3,7,7,1,1,1,0,1,0,55,71000.0,0,1,0,1615
31623,5,5,7,1,0,1,1,0,0,57,70000.0,0,1,0,1636
22365,5,5,7,1,0,1,1,0,0,67,63000.0,0,1,0,30
43155,10,10,7,1,1,0,1,0,0,28,35000.0,0,1,0,1559
2310,3,7,7,1,1,1,0,1,0,64,118000.0,1,0,0,1013
38139,0,0,3,1,1,0,0,0,1,27,42000.0,0,1,0,1698
18201,10,10,5,1,1,1,1,0,0,52,76000.0,1,0,0,1819
37227,10,10,5,1,1,1,1,0,0,51,81000.0,1,0,0,755
8982,10,10,7,1,1,0,1,0,0,57,31000.0,0,1,0,1330
23724,5,5,5,1,1,1,1,0,0,41,77000.0,0,1,0,894
27157,10,10,7,1,1,0,1,0,0,50,74000.0,1,0,0,1535
17700,5,20,10,0,0,1,0,1,0,34,43000.0,0,1,0,1582
12480,10,10,5,1,1,1,1,0,0,73,57000.0,0,1,0,1747
4610,2,10,10,1,1,1,0,1,0,68,56000.0,0,1,0,1513
42578,5,20,10,0,0,1,0,1,0,65,63000.0,1,0,0,1575
27943,10,10,5,1,1,1,1,0,0,62,57000.0,0,1,0,1693
23246,5,20,10,0,0,1,0,1,0,43,57000.0,1,0,0,735
6064,2,10,10,1,1,1,0,1,0,69,71000.0,0,1,0,1589
32167,0,0,3,1,1,0,0,0,1,65,82000.0,0,1,0,1518
41680,10,10,7,1,1,0,1,0,0,69,87000.0,1,0,0,979
28890,10,10,7,1,1,0,1,0,0,49,79000.0,1,0,0,1284
2259,10,10,7,1,1,0,1,0,0,76,71000.0,1,0,0,1321
23635,10,10,5,1,1,1,1,0,0,29,65000.0,0,1,0,1627
42102,3,7,7,1,1,1,0,1,0,25,55000.0,0,1,0,1692
983,5,5,7,1,0,1,1,0,0,51,53000.0,0,1,0,1473
29146,3,7,7,1,1,1,0,1,0,60,106000.0,1,0,0,830
20128,2,10,7,1,0,1,0,1,0,37,66000.0,0,1,0,306
28252,5,5,5,1,1,1,1,0,0,75,52000.0,1,0,0,627
35565,0,0,3,1,1,0,0,0,1,47,80000.0,1,0,0,1274
18208,3,7,7,1,1,1,0,1,0,43,53000.0,0,1,0,855
31744,5,5,7,1,0,1,1,0,0,50,84000.0,1,0,0,1804
5986,2,10,10,1,1,1,0,1,0,53,97000.0,0,1,0,893
560,2,10,10,1,1,1,0,1,0,45,55000.0,0,1,0,1737
35055,3,7,7,1,1,1,0,1,0,30,37000.0,1,0,0,1605
24940,3,7,7,1,1,1,0,1,0,41,64000.0,1,0,0,1264
38579,0,0,3,1,1,0,0,0,1,38,37000.0,0,1,0,1096
31925,0,0,3,1,1,0,0,0,1,51,70000.0,0,1,0,1599
17865,0,0,4,1,0,1,0,0,1,68,70000.0,0,1,0,561
11995,10,10,5,1,1,1,1,0,0,47,74000.0,0,1,0,1627
38261,3,7,7,1,1,1,0,1,0,27,34000.0,0,1,0,1134
36105,5,5,7,1,0,1,1,0,0,23,32000.0,0,1,0,1552
17796,2,10,7,1,0,1,0,1,0,55,39000.0,0,1,0,1027
41394,0,0,4,1,0,1,0,0,1,46,36000.0,0,1,0,1757
30613,0,0,3,1,1,0,0,0,1,60,46000.0,0,1,0,1602
9114,10,10,5,1,1,1,1,0,0,67,86000.0,0,1,0,740
15057,10,10,7,1,1,0,1,0,0,59,35000.0,0,1,0,1711
30511,0,0,4,1,0,1,0,0,1,73,57000.0,1,0,0,1470
40641,3,7,7,1,1,1,0,1,0,49,57000.0,1,0,0,106
19938,2,10,10,1,1,1,0,1,0,57,110000.0,0,1,0,1413
22353,10,10,5,1,1,1,1,0,0,51,75000.0,0,1,0,1282
4580,2,10,10,1,1,1,0,1,0,75,68000.0,1,0,0,1803
42629,10,10,5,1,1,1,1,0,0,58,45000.0,0,1,0,1427
7651,10,10,5,1,1,1,1,0,0,48,60000.0,0,1,0,740
31072,0,0,3,1,1,0,0,0,1,44,69000.0,0,1,0,1549
5994,10,10,5,1,1,1,1,0,0,65,62000.0,1,0,0,1576
27330,5,20,10,0,0,1,0,1,0,69,80000.0,0,1,0,1638
7976,5,20,10,0,0,1,0,1,0,44,69000.0,1,0,0,1696
43015,3,7,7,1,1,1,0,1,0,64,74000.0,0,1,0,1659
30619,5,5,5,1,1,1,1,0,0,23,57000.0,0,1,0,21
35892,5,20,10,0,0,1,0,1,0,27,36000.0,0,1,0,1353
18548,3,7,7,1,1,1,0,1,0,38,43000.0,1,0,0,822
5649,5,5,5,1,1,1,1,0,0,63,81000.0,1,0,0,363
14486,2,10,10,1,1,1,0,1,0,73,83000.0,1,0,0,915
12764,10,10,7,1,1,0,1,0,0,42,86000.0,0,1,0,1536
22654,2,10,7,1,0,1,0,1,0,67,81000.0,1,0,0,772
41023,2,10,7,1,0,1,0,1,0,62,73000.0,0,1,0,1643
2566,2,10,10,1,1,1,0,1,0,58,63000.0,0,1,0,190
9584,10,10,5,1,1,1,1,0,0,21,50000.0,1,0,0,1671
13789,5,5,7,1,0,1,1,0,0,51,73000.0,0,1,0,1613
5332,10,10,5,1,1,1,1,0,0,39,61000.0,0,1,0,1366
19175,2,10,7,1,0,1,0,1,0,66,114000.0,1,0,0,893
4443,2,10,7,1,0,1,0,1,0,71,44000.0,0,1,0,957
33632,2,10,10,1,1,1,0,1,0,47,32000.0,0,1,0,1489
22515,2,10,10,1,1,1,0,1,0,33,53000.0,1,0,0,838
23442,5,5,7,1,0,1,1,0,0,68,64000.0,0,1,0,455
31050,0,0,4,1,0,1,0,0,1,54,102000.0,1,0,0,1599
20480,10,10,7,1,1,0,1,0,0,59,70000.0,0,1,0,1406
21467,2,10,10,1,1,1,0,1,0,37,96000.0,0,1,0,1242
35643,10,10,5,1,1,1,1,0,0,57,77000.0,0,1,0,1212
23302,2,10,10,1,1,1,0,1,0,70,80000.0,1,0,0,776
3507,0,0,4,1,0,1,0,0,1,65,63000.0,0,1,0,1757
6142,0,0,3,1,1,0,0,0,1,66,52000.0,0,1,0,1548
25108,10,10,5,1,1,1,1,0,0,60,92000.0,1,0,0,1605
33614,10,10,5,1,1,1,1,0,0,66,40000.0,0,1,0,1565
35405,2,10,10,1,1,1,0,1,0,85,79000.0,0,1,0,1565
30975,0,0,3,1,1,0,0,0,1,58,86000.0,0,1,0,1204
20622,2,10,10,1,1,1,0,1,0,38,46000.0,0,1,0,752
39654,5,20,10,0,0,1,0,1,0,66,54000.0,0,1,0,1394
33739,5,5,5,1,1,1,1,0,0,67,75000.0,0,1,0,1226
33914,0,0,3,1,1,0,0,0,1,52,60000.0,0,0,1,1317
27039,5,5,7,1,0,1,1,0,0,52,65000.0,1,0,0,1602
40312,5,5,5,1,1,1,1,0,0,40,60000.0,0,1,0,1474
36069,5,5,5,1,1,1,1,0,0,42,61000.0,1,0,0,1521
40229,5,5,7,1,0,1,1,0,0,52,68000.0,1,0,0,1609
31807,3,7,7,1,1,1,0,1,0,69,110000.0,1,0,0,1101
9007,10,10,5,1,1,1,1,0,0,58,83000.0,1,0,0,1258
40926,10,10,5,1,1,1,1,0,0,46,51000.0,0,1,0,1333
4658,10,10,7,1,1,0,1,0,0,65,99000.0,1,0,0,1157
19623,2,10,7,1,0,1,0,1,0,66,47000.0,0,1,0,653
18998,2,10,10,1,1,1,0,1,0,79,72000.0,0,1,0,300
39623,3,7,7,1,1,1,0,1,0,56,95000.0,1,0,0,1548
30149,3,7,7,1,1,1,0,1,0,59,74000.0,1,0,0,1702
4309,10,10,7,1,1,0,1,0,0,40,71000.0,0,1,0,963
1779,0,0,3,1,1,0,0,0,1,58,66000.0,0,1,0,1478
6977,10,10,5,1,1,1,1,0,0,89,88000.0,0,0,1,1765
27921,5,20,10,0,0,1,0,1,0,31,32000.0,1,0,0,1606
923,5,5,5,1,1,1,1,0,0,72,106000.0,1,0,0,1566
11256,0,0,4,1,0,1,0,0,1,70,37000.0,0,1,0,965
36238,10,10,5,1,1,1,1,0,0,19,42000.0,1,0,0,1018
4845,5,5,7,1,0,1,1,0,0,59,73000.0,0,1,0,1470
20273,10,10,5,1,1,1,1,0,0,41,50000.0,0,1,0,1783
39563,3,7,7,1,1,1,0,1,0,55,39000.0,0,1,0,1432
27257,5,5,5,1,1,1,1,0,0,73,87000.0,0,1,0,1767
11424,2,10,10,1,1,1,0,1,0,71,81000.0,0,1,0,1478
19450,5,20,10,0,0,1,0,1,0,44,47000.0,0,1,0,1212
21826,5,5,5,1,1,1,1,0,0,71,72000.0,0,1,0,1731
44428,10,10,7,1,1,0,1,0,0,68,50000.0,0,1,0,969
31467,10,10,5,1,1,1,1,0,0,63,77000.0,1,0,0,1028
28138,10,10,5,1,1,1,1,0,0,68,36000.0,0,1,0,1029
34041,10,10,5,1,1,1,1,0,0,36,62000.0,0,1,0,1555
14420,5,5,5,1,1,1,1,0,0,78,84000.0,0,1,0,380
39593,2,10,10,1,1,1,0,1,0,62,43000.0,0,1,0,1783
16700,5,20,10,0,0,1,0,1,0,66,90000.0,1,0,0,1427
27932,2,10,7,1,0,1,0,1,0,75,43000.0,0,1,0,135
14698,5,20,10,0,0,1,0,1,0,45,66000.0,0,1,0,54
16275,10,10,5,1,1,1,1,0,0,65,97000.0,1,0,0,1667
26755,5,5,5,1,1,1,1,0,0,73,110000.0,1,0,0,1556
30604,10,10,7,1,1,0,1,0,0,40,34000.0,0,1,0,1652
31928,10,10,7,1,1,0,1,0,0,61,79000.0,0,1,0,1302
5580,10,10,7,1,1,0,1,0,0,37,52000.0,0,1,0,986
28161,3,7,7,1,1,1,0,1,0,73,52000.0,0,1,0,1764
18543,10,10,5,1,1,1,1,0,0,55,99000.0,1,0,0,1361
7066,2,10,10,1,1,1,0,1,0,23,42000.0,0,1,0,1192
28313,3,7,7,1,1,1,0,1,0,58,39000.0,0,1,0,1787
43142,0,0,3,1,1,0,0,0,1,58,31000.0,0,1,0,874
40620,2,10,10,1,1,1,0,1,0,68,78000.0,0,1,0,1246
36362,3,7,7,1,1,1,0,1,0,80,87000.0,1,0,0,1458
39055,5,5,5,1,1,1,1,0,0,68,33000.0,0,1,0,1533
39466,3,7,7,1,1,1,0,1,0,41,60000.0,0,1,0,748
38534,0,0,3,1,1,0,0,0,1,66,32000.0,1,0,0,1657
32440,10,10,7,1,1,0,1,0,0,63,89000.0,0,1,0,1520
19598,2,10,7,1,0,1,0,1,0,83,81000.0,0,1,0,1738
22962,10,10,5,1,1,1,1,0,0,37,66000.0,1,0,0,1241
35890,10,10,7,1,1,0,1,0,0,27,36000.0,0,1,0,1353
2152,3,7,7,1,1,1,0,1,0,57,60000.0,1,0,0,958
1994,3,7,7,1,1,1,0,1,0,25,55000.0,0,1,0,1065
35955,0,0,3,1,1,0,0,0,1,58,53000.0,1,0,0,911
36821,5,20,10,0,0,1,0,1,0,69,36000.0,0,1,0,1203
6769,5,5,7,1,0,1,1,0,0,20,40000.0,0,1,0,110
23179,10,10,5,1,1,1,1,0,0,90,85000.0,1,0,0,1625
39926,5,5,7,1,0,1,1,0,0,79,113000.0,0,1,0,992
36758,2,10,10,1,1,1,0,1,0,55,57000.0,0,1,0,1745
20745,5,20,10,0,0,1,0,1,0,44,59000.0,0,1,0,1201
8583,10,10,7,1,1,0,1,0,0,80,71000.0,1,0,0,1755
20115,2,10,10,1,1,1,0,1,0,59,75000.0,0,1,0,1677
15769,3,7,7,1,1,1,0,1,0,47,84000.0,0,1,0,1194
38215,5,20,10,0,0,1,0,1,0,30,35000.0,0,1,0,1680
39198,2,10,10,1,1,1,0,1,0,72,87000.0,1,0,0,1076
18493,10,10,7,1,1,0,1,0,0,30,69000.0,1,0,0,1701
23166,10,10,7,1,1,0,1,0,0,86,56000.0,0,1,0,936
30191,10,10,7,1,1,0,1,0,0,29,59000.0,1,0,0,1258
4497,5,5,5,1,1,1,1,0,0,27,33000.0,0,1,0,1806
22395,10,10,5,1,1,1,1,0,0,81,98000.0,1,0,0,1818
8745,5,5,7,1,0,1,1,0,0,33,47000.0,1,0,0,138
27858,2,10,10,1,1,1,0,1,0,62,68000.0,0,1,0,1565
21088,3,7,7,1,1,1,0,1,0,53,77000.0,1,0,0,1513
4483,10,10,5,1,1,1,1,0,0,67,65000.0,0,1,0,1509
8392,0,0,3,1,1,0,0,0,1,71,99000.0,0,1,0,1805
15295,5,5,5,1,1,1,1,0,0,83,61000.0,0,1,0,208
5414,0,0,4,1,0,1,0,0,1,64,109000.0,1,0,0,1202
