,Y
5332,1
19175,1
4443,0
33632,1
22515,1
23442,1
31050,1
20480,0
21467,1
35643,1
23302,0
3507,0
6142,1
25108,1
33614,1
35405,1
30975,0
20622,1
39654,0
33739,1
33914,1
27039,0
40312,0
36069,0
40229,1
31807,1
9007,1
40926,0
4658,1
19623,0
18998,1
39623,0
30149,1
4309,1
1779,1
6977,1
27921,0
923,1
11256,1
36238,0
4845,1
20273,0
39563,0
27257,1
11424,1
19450,0
21826,1
44428,0
31467,1
28138,1
34041,1
14420,0
39593,1
16700,0
27932,0
14698,0
16275,1
26755,0
30604,1
31928,1
5580,1
28161,1
18543,1
7066,1
28313,1
43142,0
40620,0
36362,1
39055,0
39466,1
38534,0
32440,1
19598,0
22962,1
35890,1
2152,1
1994,0
35955,0
36821,0
6769,1
23179,0
39926,1
36758,1
20745,1
8583,0
20115,1
15769,1
38215,0
39198,1
18493,1
23166,1
30191,1
4497,0
22395,1
8745,1
27858,1
21088,0
4483,0
8392,1
15295,0
5414,1
43679,0
15274,0
19518,1
6105,1
2189,1
5224,1
1108,1
42006,0
25600,1
1757,1
39024,1
18768,1
5367,1
5511,0
54,1
12937,1
28387,0
2421,1
33550,1
5440,0
23255,1
35732,1
31124,1
4817,0
37368,1
40281,1
19723,1
1306,1
40898,1
40862,1
30727,1
11851,0
554,1
37796,0
6314,1
25252,1
26848,0
14161,0
34791,0
5204,1
27571,1
43175,0
39040,1
7128,1
31642,1
44538,0
11064,1
11417,1
19747,0
14582,0
26471,0
41522,0
1145,0
17272,0
41936,0
18542,1
43662,0
17469,0
20639,1
4216,1
33440,0
13315,0
23340,1
44991,0
28749,0
16360,1
18973,1
41688,1
37817,1
15856,0
32424,1
7670,0
40936,0
20517,0
31121,1
31123,1
34135,0
1849,1
28948,0
1280,1
13166,0
7868,1
11509,1
35146,1
20952,0
3112,1
15425,1
30769,0
8417,1
41827,0
35127,1
27234,1
17971,1
34151,0
23085,0
21690,0
35930,0
4206,0
26698,1
26799,1
39061,0
10748,1
21610,1
33555,1
13088,1
24496,0
25309,1
2552,1
1008,1
11764,1
34597,0
37584,0
39713,1
24315,0
41076,0
28276,0
370,1
20912,1
31219,1
27752,1
28048,1
38434,1
32078,1
12039,1
38485,0
1663,0
19840,1
14146,1
17467,1
6423,1
14655,1
34322,1
22612,1
12069,1
34750,0
8496,0
25695,1
24863,0
16396,1
36994,0
22221,1
5636,1
6600,0
25975,0
27990,1
14166,1
8945,0
24272,1
31216,1
14107,1
36607,1
41748,1
21763,0
24299,1
32869,1
21709,1
29218,0
18041,1
12766,0
7855,1
11743,1
25685,1
381,1
15819,1
26957,1
19340,0
41786,0
3789,1
18382,1
23489,1
14849,1
10433,0
41718,1
163,0
25807,0
6895,1
31652,1
41543,1
4820,0
8108,1
11433,0
36343,1
19256,1
22020,1
6779,1
5272,1
38193,0
38752,1
31399,1
5051,0
14015,1
33322,1
27209,1
4968,1
24106,0
4362,0
43285,0
22752,1
24939,1
34206,0
15873,1
3589,1
17609,0
6780,0
44063,0
23275,1
41148,1
43112,0
32462,1
17362,0
38055,1
25930,1
8642,0
44585,0
35297,0
43825,0
40809,0
10510,0
39895,1
20107,0
9611,1
26829,1
33408,0
32669,0
26322,1
35314,1
22841,0
29594,0
21380,1
18615,0
7323,1
13253,0
27882,0
15472,1
18034,0
4149,0
10731,0
23583,0
41537,1
36754,0
13515,1
36600,0
8056,1
32237,1
39073,1
3627,0
821,1
37972,0
19249,1
10335,0
22388,0
38442,1
7307,1
12192,0
22193,1
23425,0
21629,0
14442,0
30752,1
1766,1
23078,0
6175,0
22697,0
9668,1
14303,1
35749,1
14011,1
32197,1
17982,1
12484,1
6376,0
39323,0
29513,1
15816,0
12366,0
673,1
13500,1
18751,0
31397,1
11629,0
842,0
17507,0
30211,0
25283,1
32709,0
6102,1
7404,0
1289,0
33757,0
28972,1
31220,1
43309,0
31552,1
20817,1
27672,0
7417,0
2979,1
28637,1
16557,0
44499,0
23362,1
4842,0
9169,1
12593,1
35873,1
5079,0
768,0
14081,0
18476,1
15658,0
14131,1
37334,1
18836,0
15028,1
44389,0
16817,1
3782,1
35502,1
39230,0
22904,0
27280,0
23,0
41784,0
3071,0
3874,0
18165,1
34991,1
43871,0
43320,0
3167,1
15167,1
11022,0
41561,1
44323,0
36490,1
39776,1
7904,1
32077,1
25213,1
16718,1
37244,1
21561,0
31673,0
37887,1
5378,1
34258,1
8478,0
40113,1
13992,0
11621,0
29999,1
34588,0
32823,1
23883,1
8033,0
36141,1
26823,1
8629,0
44799,0
29270,0
3944,1
10869,1
42666,0
27614,0
42459,0
8156,0
3160,0
25435,1
3252,1
22150,1
11584,1
11150,0
12700,1
40301,0
7452,1
10176,1
28698,1
42178,0
2389,0
31287,1
19461,1
5814,1
3675,0
22135,1
9480,0
4885,1
43838,0
31104,0
27512,1
23109,0
8548,0
41276,0
43290,0
12595,0
8697,1
13693,0
2982,1
15495,0
19160,0
11721,0
37180,0
29773,0
740,1
4685,0
2170,1
15441,1
9032,0
24171,1
39340,0
1215,1
9825,1
24266,0
2164,0
3638,1
29366,1
24409,0
17458,1
18199,1
27822,0
21765,1
31344,0
26056,0
12152,1
8361,0
35483,1
1212,0
29090,0
29879,1
36145,1
9522,1
12839,1
24561,0
41185,0
9826,1
6638,0
40029,0
3334,1
72,0
4264,0
35004,1
3567,0
15894,1
17691,1
40022,1
1421,0
33036,0
41260,0
6070,0
22374,1
39078,0
27255,0
17125,1
31799,1
19375,0
37728,1
29787,1
30046,0
38497,0
39210,1
18187,1
23452,1
25877,1
15517,0
26058,1
5276,1
13769,0
38727,0
35897,0
14785,1
13499,1
14203,0
27852,0
36021,1
43464,0
30453,0
38804,0
26302,0
35126,0
10115,1
8917,0
16525,1
9635,1
32936,1
226,1
18869,1
9099,0
41399,1
948,1
12666,1
13928,0
36802,0
3332,0
37090,0
6442,1
18901,0
40306,1
21274,0
14748,1
36104,1
3632,0
19072,1
44305,0
17077,1
26943,1
33944,1
5133,0
2071,0
7954,1
23413,0
4299,1
7395,1
24140,0
9524,1
6294,1
21728,0
8167,1
43303,0
27026,1
20764,0
25292,1
7196,1
20595,1
23050,1
8864,0
27105,0
38270,1
709,0
10525,1
4746,0
36457,1
33198,0
10698,1
17454,0
312,0
10401,1
13924,1
10414,1
8706,1
27543,0
36466,1
10016,0
22024,0
17067,0
24966,0
20788,1
36251,1
25258,0
33155,0
13081,0
34368,0
9408,0
5460,0
23365,0
12193,0
22851,0
28083,1
171,1
35566,1
5242,0
38047,1
28246,1
42696,0
24569,0
9037,1
35674,1
33591,0
35215,1
20091,1
8236,1
6009,0
9662,1
23948,0
44747,0
35773,0
16505,1
25828,0
490,1
17116,1
3989,1
22762,0
6708,0
12407,1
17924,0
24578,0
19578,1
20773,0
938,1
41081,0
20385,1
4039,0
8293,0
41130,1
28194,1
22789,1
36374,1
15359,1
15670,0
15885,0
42887,0
6890,1
41898,0
37638,1
30193,0
26992,1
2964,1
20753,0
33007,0
19440,0
11591,0
4398,0
20059,0
43159,0
4403,0
2709,0
24607,0
12454,1
26431,1
24287,1
44820,0
39281,1
1196,0
25378,0
20045,1
10198,0
7870,1
17597,0
40540,1
15869,1
20872,0
35327,1
15910,1
22780,1
35506,1
26818,1
15037,1
23064,1
12017,0
12437,0
12433,1
3923,0
8158,1
15443,1
30625,0
43463,0
18281,0
12055,1
40676,0
32278,0
44272,0
21234,0
8070,0
30994,1
22414,0
7253,0
16693,0
36449,1
27013,1
16734,0
451,0
39947,0
29391,0
40865,0
35450,0
14417,1
16723,1
4476,1
16936,0
36009,0
24707,1
34232,0
36807,0
44463,0
1125,0
3477,1
18089,1
36308,1
33176,1
21029,0
34887,0
26085,0
8660,1
16923,0
17695,0
9824,0
31900,1
19663,1
7312,1
8968,0
31180,1
34635,1
28079,0
29522,0
28357,1
8302,0
27611,1
44100,0
44012,0
165,0
25924,1
32492,1
44362,0
31053,1
5563,0
5689,1
5115,0
8784,1
13475,0
36245,1
14002,0
13517,1
12216,1
39296,1
33784,0
20374,0
36746,1
7792,1
37234,0
23532,1
17376,0
17583,1
8372,0
4237,0
38247,1
44404,0
17940,0
33881,1
40381,1
11082,0
34481,0
24965,0
38547,0
5482,1
7955,1
14305,0
23961,1
5669,0
26782,1
25433,1
16332,1
37152,0
22823,1
8300,1
31149,1
12652,0
21643,0
36115,1
15965,0
41402,0
13138,1
36711,1
43731,0
16336,0
32993,1
34460,1
10497,0
17203,0
20701,1
23611,1
1901,0
41040,0
28187,0
11796,0
7807,1
21631,0
30621,0
9363,1
13242,1
26598,1
41640,1
269,1
21756,1
15571,1
15584,1
5841,1
33790,0
15266,0
22230,1
1541,1
13025,0
22947,0
12318,0
23707,0
15845,0
17747,0
1250,1
30226,1
13086,0
9586,1
21214,0
22739,0
3949,0
18570,1
13809,1
30181,0
39123,0
15713,1
15211,0
44425,0
40287,0
3845,1
12486,0
43960,0
31071,0
25772,1
15904,0
18035,1
102,1
19634,1
10778,0
32116,0
27038,1
18924,0
33638,1
35713,1
34854,1
4839,1
36855,0
33542,1
34143,0
31081,0
17059,1
16959,0
32270,1
18439,0
7083,1
21720,1
19350,0
2088,1
1472,1
19974,1
7606,0
23615,1
4899,1
21762,0
8002,0
37351,1
196,1
42840,0
37523,1
1115,0
13940,1
20408,1
28144,1
26784,1
23044,0
32025,1
11112,0
1656,0
31844,1
19572,1
17987,0
6819,1
37138,0
13058,0
16404,0
38194,1
21625,1
12013,1
10724,0
19020,1
3850,0
14064,1
17318,0
19481,1
16149,1
23367,1
28261,0
5568,0
36764,0
288,1
41071,0
12016,1
18140,0
22610,1
14548,0
22499,1
12507,1
29991,1
7436,1
19333,1
22526,0
10386,0
37441,1
34109,0
44089,0
35390,0
1202,0
2073,0
3374,0
43815,0
37557,1
33202,0
20020,1
8153,1
25187,0
118,0
30763,0
2467,1
34621,1
10705,0
28586,0
33626,1
39711,0
14019,0
1502,1
4946,0
25477,1
39102,0
24565,1
38984,1
44254,0
18558,1
26053,1
32619,0
6263,0
16432,1
17523,0
4785,0
9904,1
26111,0
27667,1
25054,1
38940,0
1484,1
24721,0
21722,1
17347,1
26154,0
42934,0
30091,0
17947,1
10113,0
23758,1
28152,1
28058,1
22239,1
41196,0
10192,1
29625,1
12370,0
32968,1
21585,0
10068,0
16350,1
25156,0
5374,1
15065,1
32531,1
37469,0
37619,1
32052,0
40552,0
15957,1
21459,0
38113,1
43307,0
4757,0
31150,0
2390,0
9561,0
35407,1
14966,0
40131,0
31597,0
23012,0
12974,0
9796,1
13894,1
6681,1
34926,1
3104,1
25512,1
6880,1
7941,0
23435,1
16159,0
25580,1
320,1
10487,1
21913,0
8,1
16240,1
33261,0
17079,0
12680,1
43876,0
1939,1
39589,0
11341,1
16729,1
33996,1
30854,1
23209,1
35372,0
32473,0
34411,1
4205,0
25342,0
30482,0
8332,1
2102,1
8836,1
26077,1
31482,0
28027,1
22295,0
11909,0
34674,0
9413,0
24401,1
21356,0
27738,0
38010,1
9805,1
28245,0
19260,1
29486,0
31411,0
11630,1
19710,1
2454,1
30905,1
2650,0
2934,1
41486,0
13,0
40758,1
43160,0
15396,0
25100,1
28294,1
38207,1
32548,1
8097,1
37237,1
31753,1
37682,0
477,1
1353,1
10589,1
4776,0
38024,1
13532,1
31743,1
21405,0
41267,1
16652,1
11941,0
8187,0
8179,0
18254,0
21314,0
40770,1
27200,1
228,0
17516,1
41372,1
27810,1
12234,0
30419,1
40242,1
43525,0
13121,1
32599,1
24847,1
14735,0
22031,0
7257,1
18073,0
24071,0
31334,0
5554,1
746,0
4394,0
1486,1
5610,0
30366,1
33723,0
518,1
4977,1
2962,1
6217,1
499,1
36204,1
17397,0
30039,0
16189,0
13673,1
10859,1
41281,0
32015,1
15377,1
35691,0
25629,1
25189,0
23461,1
31987,1
29607,1
6666,1
39282,0
12625,1
30968,0
34239,1
38659,1
18834,1
36971,0
7136,1
12756,0
39865,0
20018,0
6041,1
29758,0
21095,1
41507,1
24776,1
16961,1
190,1
33139,1
21898,1
20765,0
27429,0
29416,1
32151,0
12028,0
22998,0
21327,0
21634,1
15795,0
27590,0
14560,1
32944,1
39032,0
10885,0
17638,1
44135,0
8809,1
26904,1
3086,0
29531,1
20139,0
12745,0
40118,1
37424,1
27549,1
25164,1
29361,1
32526,0
38147,0
41191,0
15094,0
26975,0
36488,0
10570,0
2049,0
43982,0
39666,0
37086,1
40731,0
44423,0
4100,0
10895,1
20717,1
30410,1
10647,0
11053,1
15814,0
43005,0
32907,1
22317,1
12865,1
9260,0
31667,0
22033,0
84,1
37798,0
10071,1
16009,0
9464,0
10261,1
6629,1
27674,1
25963,1
11823,1
7286,0
22925,0
30552,1
6141,0
30386,0
35338,0
15129,1
27466,1
13091,1
423,1
35059,1
24680,0
1314,0
28732,0
21159,1
35235,0
24077,1
24147,1
10427,1
18664,1
36666,1
13260,0
14732,1
7209,1
28838,1
17371,0
44795,0
21011,0
7911,0
9406,1
36511,0
32221,1
6604,0
7925,1
18863,1
4155,1
12453,1
8246,1
26428,1
9274,0
28570,0
43443,0
21539,1
10438,1
23597,0
29536,1
13916,1
38013,1
27879,1
23057,0
10670,1
25345,0
28123,1
33450,0
37656,0
43087,0
29338,1
5952,1
29234,1
3723,0
20667,1
39938,1
13065,0
44858,0
27019,1
36012,1
26500,0
34953,0
5031,0
17844,1
29499,1
31277,0
16610,1
4779,0
23520,0
23540,1
7950,0
1847,0
44853,0
8508,0
27244,0
7711,1
23407,0
36438,1
24898,0
32908,1
12300,1
42024,0
6379,1
32291,0
36857,0
15608,0
23189,1
36326,1
35640,1
38503,1
1705,0
29638,0
12428,0
17600,0
19629,0
12905,1
44721,0
29151,1
20175,1
18218,0
38828,0
790,1
10602,0
28325,1
34025,1
40329,1
9557,0
22149,1
1780,1
7629,0
7411,0
13334,0
22566,0
25260,1
21792,1
32365,1
34673,0
34877,0
6909,0
33470,1
37332,1
19617,0
35676,1
28470,0
40650,1
11911,1
32488,1
20769,1
38220,1
38778,1
12416,1
8936,1
21911,1
29325,0
7690,1
16263,0
33910,1
26987,0
3446,0
8171,0
18553,0
41244,1
19765,0
29402,1
29679,1
2479,0
37765,0
37389,1
37144,1
2287,0
29917,0
38729,1
12314,1
43107,0
14711,0
29064,1
41920,0
14903,1
43712,0
24103,0
17730,1
41459,0
10418,1
11097,0
40947,1
13402,0
30800,1
38420,0
23093,0
35815,1
28334,1
5807,1
28266,1
18257,0
29526,1
36243,0
34516,0
14022,0
7649,1
26448,0
39928,0
16973,0
29500,1
30652,1
17654,0
34154,0
11181,1
17169,1
8617,1
34688,1
12208,1
14035,1
4467,0
20197,0
44165,0
42516,0
12107,0
39958,0
9141,0
6426,0
16007,1
29189,0
13722,1
3370,1
44266,0
9597,0
12524,0
6817,1
18822,0
30692,0
12588,0
30088,1
2235,0
10272,0
31146,1
8499,1
21228,0
13318,1
18185,1
7790,1
38340,1
5502,0
31473,1
27966,1
29061,1
6980,1
13602,1
18591,1
4605,0
16085,0
21062,0
20423,0
17011,0
25454,1
2877,1
21840,0
21852,1
10915,0
28708,0
30830,1
6586,1
16210,0
40658,0
106,0
22769,0
20032,1
11175,1
40079,1
32494,1
31891,0
3369,1
27475,0
16751,0
30633,0
9622,1
8578,1
36043,1
24827,0
15162,1
30032,1
5184,0
6990,0
1588,1
21361,1
6277,1
29655,1
30825,1
3096,0
7593,0
3696,0
31770,0
29747,1
16581,1
25002,0
35764,0
10185,0
29552,1
9442,1
40436,0
27580,1
10650,1
37611,0
9313,1
19116,0
9841,1
11246,1
31742,0
25791,0
10977,0
18298,1
23983,0
10238,1
1272,1
14033,1
37995,0
7397,0
4637,0
25660,0
17870,0
9818,1
37719,0
41154,1
12621,0
12943,1
16126,0
14862,1
7316,1
25102,0
44977,0
7732,1
20644,1
43084,0
30620,1
36034,0
27796,1
21901,1
2843,0
35571,0
29537,0
16797,1
11231,1
44029,0
14531,0
18582,1
7540,1
7137,1
21288,0
30616,1
14658,0
28886,1
583,0
10093,0
11119,0
25926,0
1355,1
11423,0
6469,0
1275,1
20921,1
17224,0
21803,1
40299,1
3925,1
40283,0
15607,1
32674,0
40515,1
38254,1
36581,0
4183,0
35637,0
23859,1
18023,0
2469,1
31221,1
38561,1
38054,1
21272,1
7341,1
20121,0
5428,1
18443,0
19321,1
4908,0
9441,0
28320,1
32787,0
1868,0
32539,1
28893,0
27774,1
18704,0
40925,0
12130,0
24292,1
36340,1
6876,1
10420,0
42050,0
9955,0
32250,1
36148,1
18304,1
5629,0
39004,1
13219,1
39172,0
7283,0
14439,1
42112,0
25005,1
23208,0
11993,1
15264,1
28976,1
25586,0
3797,1
41419,0
3878,0
13744,1
29815,0
10237,0
19468,1
35175,0
4108,0
28677,1
28796,0
41032,1
23100,0
44520,0
31857,0
18586,1
34552,1
11470,0
39596,1
41773,0
37317,1
36272,1
17969,0
4040,1
24186,0
4011,0
21226,1
19332,0
12443,1
31879,0
10530,0
33726,1
28394,0
27764,1
32705,1
19540,1
38392,1
18594,0
28277,0
42073,0
18541,1
20541,1
28540,1
36964,0
13521,1
34663,0
18619,0
35308,0
9449,1
42285,0
444,0
12004,1
26277,0
5887,1
35789,0
33879,0
6116,0
39878,1
37071,0
33918,1
7342,1
4486,0
10991,0
9663,0
17829,1
12479,0
641,1
5387,1
22661,0
11081,1
14661,1
35740,0
8888,1
7897,0
13926,0
12508,0
38459,0
16034,1
26842,0
18694,1
32606,0
34582,1
33667,0
35744,0
34782,1
2820,1
35007,1
44989,0
35231,0
3294,1
19379,0
17443,0
1940,0
4254,0
5181,0
13392,0
15741,1
22085,1
8818,1
25548,0
23048,1
2308,0
31995,0
8338,0
39691,0
13079,0
7948,0
27069,1
12325,0
13936,0
12773,1
34557,0
5960,0
13529,0
13069,1
24164,0
26059,1
5805,0
36301,0
11732,0
25069,0
10814,1
40434,0
14623,0
32013,1
33682,1
36316,0
30847,1
7026,1
2208,0
18850,0
13234,1
30061,0
31378,0
27070,1
3180,0
11381,0
13373,1
22627,0
39396,1
38840,0
33350,1
4816,1
41998,0
12613,0
9447,1
21215,0
2637,1
26221,1
1798,1
39465,1
41999,0
35618,1
8891,0
27124,0
2659,0
22156,1
30138,1
30695,1
33127,1
38321,0
25357,1
16451,1
6062,0
43321,0
22189,1
24957,1
1177,1
38798,0
14412,1
35384,0
15533,1
34010,1
13651,1
18624,1
8044,1
8503,1
7817,1
10918,1
35087,1
19233,1
41306,1
8890,0
28377,0
30266,1
21914,1
11620,1
41120,0
29075,1
36834,1
25105,1
16407,0
17107,1
5622,1
5961,0
31484,1
42971,0
15706,1
9226,1
26164,1
33725,1
44030,0
24375,1
11323,1
22994,0
7145,1
3536,1
4528,0
11895,1
13725,1
37269,0
13943,0
21818,1
40499,1
13527,1
16058,1
16078,0
37799,1
2144,1
12409,0
3138,1
32704,0
36047,0
14607,1
28316,1
27294,1
16417,0
37461,0
40267,1
14472,0
636,1
35914,0
25400,1
4638,1
21460,1
40190,0
33779,0
36900,0
23710,1
19107,0
5174,1
42687,0
31011,0
39065,0
37345,1
24274,1
11481,0
415,1
30420,1
29070,1
18641,0
9416,0
16175,0
14847,1
13907,1
11034,1
22205,0
2960,0
30903,0
36176,1
15993,1
17937,1
8320,0
10980,1
25394,1
20642,0
31323,1
33612,1
4871,1
23966,0
11347,1
35534,0
20183,1
11155,0
33530,0
7109,1
25142,0
13944,1
17723,1
14262,0
34565,1
10239,0
3534,1
24208,1
14186,1
39337,0
18575,1
30485,1
42179,0
7287,1
27570,1
10494,1
5637,0
16881,1
18335,0
40945,1
4781,0
23143,1
22872,1
6386,0
34100,0
31413,0
38178,1
25302,1
38630,1
6172,0
478,0
37063,0
11353,0
30928,1
23977,1
24677,0
34661,1
2366,1
35076,0
3940,0
12074,1
2840,0
40738,1
16770,0
37191,0
41240,0
23355,1
12133,1
22710,1
36941,1
25388,1
19325,1
24358,0
34178,1
24177,1
23704,0
6685,0
27927,1
41882,0
35238,0
21080,1
10235,0
51,1
17554,1
37786,0
41816,0
16474,0
34478,0
43701,0
2493,1
5942,1
35393,0
24784,1
28175,1
16411,1
25117,0
11140,1
35879,0
6358,1
8050,1
33892,1
19056,1
15008,1
3434,1
9975,1
3718,0
31942,0
42044,0
5139,1
36077,0
26852,1
27550,0
14095,1
44410,0
28397,1
16515,0
6652,0
38253,1
7964,0
19000,0
10375,0
347,0
9623,1
42719,0
3169,1
16869,0
40310,1
36975,1
11518,0
44844,0
39249,1
28880,1
10,1
4359,1
11585,0
24165,0
39701,1
24419,1
27075,1
17388,0
12690,1
42612,0
24064,0
22719,1
19793,1
25655,1
30048,1
3964,1
32249,0
29281,0
26222,0
5286,1
33502,0
10157,1
42792,0
9521,1
34867,1
19726,0
15165,1
42043,0
6366,1
31215,0
18243,1
43634,0
27366,1
21721,0
35751,1
32474,1
24203,0
40708,1
14898,1
22540,0
820,1
27787,0
20985,1
19320,0
35476,1
32209,1
36429,1
17130,1
29165,1
21657,1
16573,0
16970,0
17529,1
19985,1
18601,1
35939,1
35241,0
14976,1
12140,0
15168,1
28303,1
37223,0
40771,0
5005,0
34377,1
28805,1
10228,1
10657,1
13964,0
9735,0
4189,1
41575,1
10028,0
3409,1
14876,0
2931,1
6926,1
19148,1
2037,0
6672,0
30110,1
5381,1
14312,0
30938,1
19123,0
10118,1
21957,0
30168,0
31202,0
27669,0
910,0
685,0
33252,0
1826,1
9657,1
10448,0
33642,1
15088,1
26624,1
31693,0
10027,1
33021,0
37076,1
3778,0
42882,0
12163,0
21072,0
18923,1
12010,0
24192,0
25979,1
14938,1
1012,1
536,0
2030,0
3025,0
21403,1
18440,0
1378,0
10025,1
31865,1
21660,1
1128,0
34899,0
9986,0
24306,0
15340,1
13544,1
10856,1
13755,1
1867,1
30248,0
9385,1
8651,0
21724,1
29752,0
36950,0
8846,0
41644,0
27441,1
2688,1
2247,1
3081,1
15465,1
16863,1
7909,0
21906,1
9367,0
26677,1
36332,0
5727,1
23220,0
27644,0
161,1
27700,1
5917,1
17369,0
756,1
24422,0
24831,0
26878,1
15953,0
12723,1
35696,0
37014,1
23159,0
5868,0
18515,1
10728,0
24473,0
19131,0
23604,1
5273,0
41348,0
4728,0
29968,0
25599,1
7052,1
34731,0
7784,1
30130,1
33495,1
39487,1
4013,1
28308,1
15893,0
38584,1
38557,0
14277,0
24150,1
24583,1
13681,0
41457,1
13013,0
16752,1
22375,0
36739,1
32321,1
18249,0
18238,1
19862,0
40066,1
14180,1
10178,1
10935,0
41181,1
31961,1
17967,1
16620,0
7230,1
22652,1
17090,1
13085,1
696,0
40889,1
30791,0
34498,0
26071,0
32781,1
32528,0
45011,0
33401,0
31727,0
15973,1
4891,0
33254,1
13810,1
5050,0
15268,1
30035,0
15187,0
30389,1
6631,1
30835,0
27031,1
13729,1
33943,0
33040,0
25048,0
16101,1
36239,0
7347,1
14708,1
37867,1
9555,1
38592,1
40201,0
25968,1
5778,0
25200,0
26462,0
36917,1
40244,1
19134,1
5835,1
24802,1
29101,1
36273,1
41417,1
2344,0
41253,1
27114,0
33866,1
10006,0
14720,1
17381,0
36164,0
44374,0
44806,0
27134,1
18632,0
30225,1
10569,1
4348,1
39785,1
16607,0
1475,1
17670,0
5537,0
36450,1
16423,0
18637,0
7200,1
12699,1
18272,0
40741,1
38271,0
19168,1
43164,0
16095,1
281,1
15546,0
42698,0
3654,0
14137,0
16554,1
32038,1
29057,0
23118,0
2980,0
41630,1
5572,0
28243,0
32235,0
22056,1
3711,1
27242,1
37158,1
22146,0
4117,0
44846,0
15881,0
12798,1
9828,0
11791,0
27238,1
29083,1
44183,0
15098,1
7990,0
32267,1
5325,0
19738,1
2677,0
30457,0
40932,1
8494,1
23222,0
32917,1
21199,0
7727,1
30532,1
7123,1
39952,1
38124,0
23782,0
43560,0
20610,0
23234,1
17857,0
22208,1
26316,1
29117,0
43702,0
40976,0
43563,0
15576,0
9642,0
1070,0
21676,0
257,0
31178,0
28609,0
15067,0
6485,0
10615,1
30640,1
21308,0
42700,0
266,0
37384,1
44974,0
1535,0
14156,1
35950,1
302,1
15548,1
9809,1
42660,0
7610,1
1549,1
11664,0
2261,0
28389,1
3354,0
16845,1
6395,1
24268,0
23197,0
7513,0
20327,0
21932,1
27023,0
15202,0
21389,1
9239,0
42553,0
22631,0
19712,1
21364,0
34954,1
27692,1
22632,0
41581,1
8177,1
42821,0
4522,0
9237,1
13902,1
16073,0
7902,0
29681,0
13489,1
32080,0
26690,1
36263,0
16866,0
5033,0
31299,0
43372,0
1451,0
29895,0
23628,0
13927,1
9371,0
19553,1
29949,1
14863,1
21147,0
28917,0
40359,1
14648,0
38382,0
34832,0
2944,1
18082,0
4922,0
18437,1
38329,0
15696,1
5379,0
13277,0
6210,0
19995,1
16066,0
31238,1
5060,1
16645,1
2263,1
21542,0
27533,0
21849,1
29990,1
32905,0
3432,0
34522,0
40383,1
4274,1
15544,1
13647,1
13338,1
37386,0
16682,1
8954,0
32216,0
43823,0
6951,0
8133,1
27380,1
6658,1
