,reward,difficulty,duration,mobile,social,web,bogo,discount,informational,age,income,F,M,O,days_since_member,Y
84,2,10,10,1,1,1,0,1,0,43,69000.0,0,1,0,1472,1
85,5,20,10,0,0,1,0,1,0,57,99000.0,1,0,0,1703,0
86,3,7,7,1,1,1,0,1,0,57,99000.0,1,0,0,1703,1
87,5,5,5,1,1,1,1,0,0,57,99000.0,1,0,0,1703,0
88,5,5,7,1,0,1,1,0,0,68,76000.0,1,0,0,852,0
89,2,10,7,1,0,1,0,1,0,68,76000.0,1,0,0,852,0
90,5,20,10,0,0,1,0,1,0,65,73000.0,1,0,0,1496,0
91,5,5,5,1,1,1,1,0,0,65,73000.0,1,0,0,1496,0
92,0,0,4,1,0,1,0,0,1,65,75000.0,1,0,0,1508,0
93,2,10,10,1,1,1,0,1,0,65,75000.0,1,0,0,1508,1
94,2,10,10,1,1,1,0,1,0,66,95000.0,1,0,0,1798,1
95,5,5,5,1,1,1,1,0,0,66,95000.0,1,0,0,1798,0
96,2,10,7,1,0,1,0,1,0,66,95000.0,1,0,0,1798,0
97,10,10,7,1,1,0,1,0,0,59,106000.0,0,1,0,1363,0
98,2,10,10,1,1,1,0,1,0,59,106000.0,0,1,0,1363,1
99,2,10,10,1,1,1,0,1,0,64,61000.0,1,0,0,1013,0
100,0,0,3,1,1,0,0,0,1,64,61000.0,1,0,0,1013,0
101,0,0,4,1,0,1,0,0,1,37,33000.0,0,1,0,1655,0
102,3,7,7,1,1,1,0,1,0,37,33000.0,0,1,0,1655,1
103,10,10,7,1,1,0,1,0,0,59,103000.0,1,0,0,1110,0
104,5,5,7,1,0,1,1,0,0,59,103000.0,1,0,0,1110,0
105,2,10,10,1,1,1,0,1,0,59,103000.0,1,0,0,1110,1
106,2,10,7,1,0,1,0,1,0,59,103000.0,1,0,0,1110,0
107,10,10,5,1,1,1,1,0,0,46,36000.0,1,0,0,883,0
108,5,20,10,0,0,1,0,1,0,46,36000.0,1,0,0,883,0
109,2,10,10,1,1,1,0,1,0,46,36000.0,1,0,0,883,0
110,2,10,7,1,0,1,0,1,0,46,36000.0,1,0,0,883,1
111,0,0,4,1,0,1,0,0,1,22,60000.0,0,1,0,1811,0
112,3,7,7,1,1,1,0,1,0,22,60000.0,0,1,0,1811,1
113,2,10,10,1,1,1,0,1,0,22,60000.0,0,1,0,1811,1
114,0,0,3,1,1,0,0,0,1,22,60000.0,0,1,0,1811,0
115,2,10,7,1,0,1,0,1,0,22,60000.0,0,1,0,1811,1
116,10,10,5,1,1,1,1,0,0,20,45000.0,0,1,0,1609,0
117,5,5,5,1,1,1,1,0,0,20,45000.0,0,1,0,1609,1
118,2,10,7,1,0,1,0,1,0,20,45000.0,0,1,0,1609,0
119,10,10,5,1,1,1,1,0,0,67,111000.0,1,0,0,1431,1
120,5,5,7,1,0,1,1,0,0,67,111000.0,1,0,0,1431,0
121,2,10,7,1,0,1,0,1,0,67,111000.0,1,0,0,1431,0
122,10,10,7,1,1,0,1,0,0,62,73000.0,0,1,0,1621,0
123,0,0,4,1,0,1,0,0,1,62,73000.0,0,1,0,1621,1
124,5,20,10,0,0,1,0,1,0,62,73000.0,0,1,0,1621,0
125,0,0,3,1,1,0,0,0,1,62,73000.0,0,1,0,1621,0
126,0,0,4,1,0,1,0,0,1,43,60000.0,0,1,0,1469,0
127,2,10,10,1,1,1,0,1,0,43,60000.0,0,1,0,1469,1
128,2,10,7,1,0,1,0,1,0,43,60000.0,0,1,0,1469,0
129,0,0,4,1,0,1,0,0,1,33,59000.0,1,0,0,1784,0
130,5,20,10,0,0,1,0,1,0,67,71000.0,0,1,0,1580,0
131,2,10,10,1,1,1,0,1,0,67,71000.0,0,1,0,1580,1
132,0,0,3,1,1,0,0,0,1,67,71000.0,0,1,0,1580,0
133,5,5,5,1,1,1,1,0,0,67,71000.0,0,1,0,1580,0
134,5,20,10,0,0,1,0,1,0,64,45000.0,1,0,0,1646,0
135,3,7,7,1,1,1,0,1,0,64,45000.0,1,0,0,1646,0
136,2,10,10,1,1,1,0,1,0,64,45000.0,1,0,0,1646,0
137,2,10,7,1,0,1,0,1,0,64,45000.0,1,0,0,1646,0
138,2,10,10,1,1,1,0,1,0,67,68000.0,1,0,0,1641,1
139,10,10,5,1,1,1,1,0,0,57,62000.0,1,0,0,490,0
140,0,0,3,1,1,0,0,0,1,57,62000.0,1,0,0,490,0
141,10,10,5,1,1,1,1,0,0,45,55000.0,1,0,0,1763,0
142,5,5,7,1,0,1,1,0,0,45,55000.0,1,0,0,1763,0
143,10,10,7,1,1,0,1,0,0,78,111000.0,0,1,0,1022,1
144,2,10,10,1,1,1,0,1,0,78,111000.0,0,1,0,1022,0
145,2,10,7,1,0,1,0,1,0,78,111000.0,0,1,0,1022,0
146,0,0,4,1,0,1,0,0,1,55,81000.0,1,0,0,1479,0
147,5,5,7,1,0,1,1,0,0,55,81000.0,1,0,0,1479,0
148,5,5,5,1,1,1,1,0,0,55,81000.0,1,0,0,1479,0
149,2,10,10,1,1,1,0,1,0,21,65000.0,0,1,0,180,0
150,5,5,7,1,0,1,1,0,0,63,86000.0,1,0,0,796,0
151,5,20,10,0,0,1,0,1,0,63,86000.0,1,0,0,796,1
152,5,20,10,0,0,1,0,1,0,32,75000.0,0,1,0,808,1
153,2,10,10,1,1,1,0,1,0,32,75000.0,0,1,0,808,1
154,2,10,7,1,0,1,0,1,0,32,75000.0,0,1,0,808,0
155,0,0,4,1,0,1,0,0,1,57,100000.0,1,0,0,1633,0
156,10,10,7,1,1,0,1,0,0,66,96000.0,0,1,0,1117,0
157,5,20,10,0,0,1,0,1,0,66,96000.0,0,1,0,1117,0
158,0,0,3,1,1,0,0,0,1,66,96000.0,0,1,0,1117,0
159,5,5,5,1,1,1,1,0,0,66,96000.0,0,1,0,1117,0
160,0,0,4,1,0,1,0,0,1,65,80000.0,1,0,0,1628,0
161,0,0,3,1,1,0,0,0,1,65,80000.0,1,0,0,1628,1
162,10,10,5,1,1,1,1,0,0,40,69000.0,1,0,0,1482,0
163,5,5,7,1,0,1,1,0,0,40,69000.0,1,0,0,1482,0
164,5,20,10,0,0,1,0,1,0,40,69000.0,1,0,0,1482,0
165,10,10,5,1,1,1,1,0,0,51,65000.0,1,0,0,1224,0
166,5,5,7,1,0,1,1,0,0,51,65000.0,1,0,0,1224,0
167,0,0,3,1,1,0,0,0,1,51,65000.0,1,0,0,1224,1
168,5,5,5,1,1,1,1,0,0,51,65000.0,1,0,0,1224,1
169,10,10,7,1,1,0,1,0,0,55,83000.0,0,1,0,1518,0
170,10,10,5,1,1,1,1,0,0,55,83000.0,0,1,0,1518,0
171,5,20,10,0,0,1,0,1,0,55,83000.0,0,1,0,1518,1
172,5,5,5,1,1,1,1,0,0,55,83000.0,0,1,0,1518,1
173,0,0,4,1,0,1,0,0,1,60,35000.0,1,0,0,1531,1
174,5,5,7,1,0,1,1,0,0,60,35000.0,1,0,0,1531,0
175,5,20,10,0,0,1,0,1,0,60,35000.0,1,0,0,1531,0
176,2,10,7,1,0,1,0,1,0,60,35000.0,1,0,0,1531,0
177,5,20,10,0,0,1,0,1,0,64,79000.0,1,0,0,1635,0
178,2,10,10,1,1,1,0,1,0,64,79000.0,1,0,0,1635,1
179,0,0,3,1,1,0,0,0,1,64,79000.0,1,0,0,1635,0
180,0,0,4,1,0,1,0,0,1,58,55000.0,0,1,0,847,0
181,10,10,7,1,1,0,1,0,0,51,80000.0,1,0,0,1329,0
182,0,0,3,1,1,0,0,0,1,51,80000.0,1,0,0,1329,0
183,10,10,7,1,1,0,1,0,0,25,34000.0,1,0,0,165,0
184,3,7,7,1,1,1,0,1,0,25,34000.0,1,0,0,165,0
185,2,10,10,1,1,1,0,1,0,25,34000.0,1,0,0,165,0
186,0,0,3,1,1,0,0,0,1,25,34000.0,1,0,0,165,0
187,5,20,10,0,0,1,0,1,0,18,54000.0,0,1,0,1587,0
188,2,10,7,1,0,1,0,1,0,18,54000.0,0,1,0,1587,0
189,5,20,10,0,0,1,0,1,0,54,74000.0,0,1,0,1607,0
190,5,5,5,1,1,1,1,0,0,54,74000.0,0,1,0,1607,1
191,2,10,10,1,1,1,0,1,0,78,78000.0,1,0,0,1585,0
192,0,0,3,1,1,0,0,0,1,78,78000.0,1,0,0,1585,0
193,10,10,5,1,1,1,1,0,0,29,44000.0,0,1,0,1084,0
194,2,10,10,1,1,1,0,1,0,29,44000.0,0,1,0,1084,1
195,5,20,10,0,0,1,0,1,0,41,64000.0,0,0,1,1673,0
196,5,5,5,1,1,1,1,0,0,41,64000.0,0,0,1,1673,1
197,2,10,7,1,0,1,0,1,0,41,64000.0,0,0,1,1673,0
198,2,10,10,1,1,1,0,1,0,60,115000.0,1,0,0,1359,0
199,0,0,3,1,1,0,0,0,1,60,115000.0,1,0,0,1359,0
200,10,10,5,1,1,1,1,0,0,69,60000.0,0,1,0,1576,0
201,5,5,7,1,0,1,1,0,0,69,60000.0,0,1,0,1576,0
202,3,7,7,1,1,1,0,1,0,69,60000.0,0,1,0,1576,0
203,0,0,3,1,1,0,0,0,1,69,60000.0,0,1,0,1576,0
204,10,10,7,1,1,0,1,0,0,55,113000.0,1,0,0,1600,1
205,5,5,7,1,0,1,1,0,0,55,113000.0,1,0,0,1600,0
206,5,20,10,0,0,1,0,1,0,55,113000.0,1,0,0,1600,0
207,2,10,10,1,1,1,0,1,0,55,113000.0,1,0,0,1600,0
208,5,5,5,1,1,1,1,0,0,55,113000.0,1,0,0,1600,0
209,5,5,7,1,0,1,1,0,0,74,55000.0,0,1,0,1563,0
210,5,20,10,0,0,1,0,1,0,74,55000.0,0,1,0,1563,0
211,3,7,7,1,1,1,0,1,0,74,55000.0,0,1,0,1563,1
212,0,0,3,1,1,0,0,0,1,74,55000.0,0,1,0,1563,0
213,2,10,7,1,0,1,0,1,0,74,55000.0,0,1,0,1563,0
214,0,0,4,1,0,1,0,0,1,60,73000.0,1,0,0,1157,0
215,0,0,4,1,0,1,0,0,1,34,47000.0,0,1,0,1576,0
216,3,7,7,1,1,1,0,1,0,34,47000.0,0,1,0,1576,0
217,0,0,3,1,1,0,0,0,1,34,47000.0,0,1,0,1576,0
218,0,0,4,1,0,1,0,0,1,46,42000.0,0,1,0,1517,0
219,5,5,7,1,0,1,1,0,0,46,42000.0,0,1,0,1517,0
220,5,20,10,0,0,1,0,1,0,46,42000.0,0,1,0,1517,0
221,2,10,7,1,0,1,0,1,0,46,42000.0,0,1,0,1517,1
222,2,10,10,1,1,1,0,1,0,60,74000.0,0,1,0,1461,1
223,0,0,3,1,1,0,0,0,1,60,74000.0,0,1,0,1461,0
224,3,7,7,1,1,1,0,1,0,21,33000.0,0,1,0,1793,0
225,2,10,10,1,1,1,0,1,0,21,33000.0,0,1,0,1793,0
226,5,5,5,1,1,1,1,0,0,21,33000.0,0,1,0,1793,1
227,0,0,4,1,0,1,0,0,1,64,63000.0,1,0,0,1547,0
228,5,20,10,0,0,1,0,1,0,64,63000.0,1,0,0,1547,0
229,5,5,7,1,0,1,1,0,0,42,43000.0,0,1,0,1469,0
230,5,20,10,0,0,1,0,1,0,42,43000.0,0,1,0,1469,0
231,2,10,7,1,0,1,0,1,0,42,43000.0,0,1,0,1469,0
232,10,10,7,1,1,0,1,0,0,53,71000.0,1,0,0,1578,0
233,0,0,3,1,1,0,0,0,1,53,71000.0,1,0,0,1578,0
234,5,5,5,1,1,1,1,0,0,53,71000.0,1,0,0,1578,0
235,2,10,7,1,0,1,0,1,0,53,71000.0,1,0,0,1578,1
236,0,0,4,1,0,1,0,0,1,27,55000.0,0,1,0,1586,0
237,3,7,7,1,1,1,0,1,0,27,55000.0,0,1,0,1586,0
238,10,10,5,1,1,1,1,0,0,49,56000.0,0,1,0,1420,1
239,2,10,7,1,0,1,0,1,0,49,56000.0,0,1,0,1420,0
240,5,5,5,1,1,1,1,0,0,89,109000.0,1,0,0,1538,1
241,3,7,7,1,1,1,0,1,0,76,43000.0,0,1,0,1624,1
242,2,10,10,1,1,1,0,1,0,76,43000.0,0,1,0,1624,0
243,2,10,7,1,0,1,0,1,0,76,43000.0,0,1,0,1624,1
244,10,10,7,1,1,0,1,0,0,63,48000.0,0,1,0,842,1
245,10,10,5,1,1,1,1,0,0,63,48000.0,0,1,0,842,1
246,5,20,10,0,0,1,0,1,0,63,48000.0,0,1,0,842,0
247,3,7,7,1,1,1,0,1,0,63,48000.0,0,1,0,842,0
248,2,10,10,1,1,1,0,1,0,63,48000.0,0,1,0,842,0
249,0,0,4,1,0,1,0,0,1,54,73000.0,0,1,0,1534,0
250,5,5,7,1,0,1,1,0,0,54,73000.0,0,1,0,1534,0
251,5,20,10,0,0,1,0,1,0,54,73000.0,0,1,0,1534,1
252,2,10,10,1,1,1,0,1,0,54,73000.0,0,1,0,1534,0
253,5,20,10,0,0,1,0,1,0,60,85000.0,0,1,0,1123,0
254,3,7,7,1,1,1,0,1,0,60,85000.0,0,1,0,1123,0
255,5,5,5,1,1,1,1,0,0,60,85000.0,0,1,0,1123,0
256,2,10,7,1,0,1,0,1,0,60,85000.0,0,1,0,1123,0
257,2,10,7,1,0,1,0,1,0,37,59000.0,0,1,0,1671,0
258,5,20,10,0,0,1,0,1,0,61,99000.0,1,0,0,1118,0
259,2,10,10,1,1,1,0,1,0,61,99000.0,1,0,0,1118,0
260,5,5,5,1,1,1,1,0,0,61,99000.0,1,0,0,1118,0
261,10,10,5,1,1,1,1,0,0,51,61000.0,1,0,0,1494,1
262,2,10,10,1,1,1,0,1,0,51,61000.0,1,0,0,1494,0
263,10,10,7,1,1,0,1,0,0,65,70000.0,1,0,0,1654,0
264,5,20,10,0,0,1,0,1,0,65,70000.0,1,0,0,1654,0
265,3,7,7,1,1,1,0,1,0,65,70000.0,1,0,0,1654,1
266,5,5,5,1,1,1,1,0,0,65,70000.0,1,0,0,1654,0
267,5,5,5,1,1,1,1,0,0,51,66000.0,0,1,0,810,0
268,10,10,7,1,1,0,1,0,0,49,84000.0,0,1,0,1068,1
269,10,10,5,1,1,1,1,0,0,49,84000.0,0,1,0,1068,1
270,2,10,7,1,0,1,0,1,0,49,84000.0,0,1,0,1068,0
271,5,5,7,1,0,1,1,0,0,26,52000.0,1,0,0,1589,0
272,2,10,10,1,1,1,0,1,0,26,52000.0,1,0,0,1589,0
273,0,0,3,1,1,0,0,0,1,26,52000.0,1,0,0,1589,0
274,10,10,7,1,1,0,1,0,0,73,55000.0,1,0,0,802,0
275,10,10,5,1,1,1,1,0,0,73,55000.0,1,0,0,802,0
276,5,20,10,0,0,1,0,1,0,73,55000.0,1,0,0,802,0
277,5,5,5,1,1,1,1,0,0,73,55000.0,1,0,0,802,1
278,10,10,7,1,1,0,1,0,0,51,62000.0,1,0,0,233,1
279,0,0,4,1,0,1,0,0,1,51,62000.0,1,0,0,233,0
280,10,10,7,1,1,0,1,0,0,68,67000.0,0,1,0,1657,1
281,0,0,3,1,1,0,0,0,1,68,67000.0,0,1,0,1657,1
282,2,10,10,1,1,1,0,1,0,76,62000.0,0,1,0,1627,1
283,0,0,3,1,1,0,0,0,1,76,62000.0,0,1,0,1627,0
284,10,10,7,1,1,0,1,0,0,24,46000.0,0,1,0,148,0
285,10,10,5,1,1,1,1,0,0,24,46000.0,0,1,0,148,0
286,5,5,7,1,0,1,1,0,0,24,46000.0,0,1,0,148,0
287,5,20,10,0,0,1,0,1,0,24,46000.0,0,1,0,148,0
288,3,7,7,1,1,1,0,1,0,24,46000.0,0,1,0,148,1
289,10,10,7,1,1,0,1,0,0,70,53000.0,0,1,0,899,0
290,0,0,4,1,0,1,0,0,1,70,53000.0,0,1,0,899,0
291,3,7,7,1,1,1,0,1,0,70,53000.0,0,1,0,899,1
292,0,0,3,1,1,0,0,0,1,70,53000.0,0,1,0,899,0
293,5,5,7,1,0,1,1,0,0,53,52000.0,0,1,0,1452,1
294,3,7,7,1,1,1,0,1,0,53,52000.0,0,1,0,1452,0
295,0,0,3,1,1,0,0,0,1,53,52000.0,0,1,0,1452,0
296,10,10,7,1,1,0,1,0,0,60,38000.0,1,0,0,1783,0
297,5,5,7,1,0,1,1,0,0,60,38000.0,1,0,0,1783,1
298,5,20,10,0,0,1,0,1,0,60,38000.0,1,0,0,1783,0
299,2,10,10,1,1,1,0,1,0,60,38000.0,1,0,0,1783,0
300,10,10,7,1,1,0,1,0,0,32,43000.0,1,0,0,883,0
301,10,10,5,1,1,1,1,0,0,32,43000.0,1,0,0,883,0
302,5,20,10,0,0,1,0,1,0,32,43000.0,1,0,0,883,1
303,0,0,3,1,1,0,0,0,1,32,43000.0,1,0,0,883,0
304,10,10,5,1,1,1,1,0,0,46,59000.0,1,0,0,1505,0
305,0,0,4,1,0,1,0,0,1,46,59000.0,1,0,0,1505,0
306,0,0,4,1,0,1,0,0,1,53,72000.0,1,0,0,1104,0
307,5,5,7,1,0,1,1,0,0,53,72000.0,1,0,0,1104,0
308,2,10,10,1,1,1,0,1,0,53,72000.0,1,0,0,1104,1
309,5,5,5,1,1,1,1,0,0,53,72000.0,1,0,0,1104,0
310,2,10,7,1,0,1,0,1,0,53,72000.0,1,0,0,1104,0
311,10,10,7,1,1,0,1,0,0,37,65000.0,0,1,0,1697,0
312,10,10,5,1,1,1,1,0,0,37,65000.0,0,1,0,1697,0
313,5,5,5,1,1,1,1,0,0,37,65000.0,0,1,0,1697,0
314,10,10,7,1,1,0,1,0,0,23,53000.0,0,1,0,87,0
315,10,10,5,1,1,1,1,0,0,23,53000.0,0,1,0,87,1
316,0,0,4,1,0,1,0,0,1,23,53000.0,0,1,0,87,0
317,3,7,7,1,1,1,0,1,0,23,53000.0,0,1,0,87,0
318,0,0,3,1,1,0,0,0,1,23,53000.0,0,1,0,87,0
319,10,10,7,1,1,0,1,0,0,54,62000.0,1,0,0,1179,0
320,0,0,4,1,0,1,0,0,1,54,62000.0,1,0,0,1179,1
321,0,0,3,1,1,0,0,0,1,54,62000.0,1,0,0,1179,0
322,10,10,5,1,1,1,1,0,0,72,65000.0,1,0,0,1481,0
323,3,7,7,1,1,1,0,1,0,72,65000.0,1,0,0,1481,1
324,2,10,10,1,1,1,0,1,0,72,65000.0,1,0,0,1481,0
325,5,20,10,0,0,1,0,1,0,70,35000.0,1,0,0,751,0
326,2,10,10,1,1,1,0,1,0,70,35000.0,1,0,0,751,0
327,10,10,7,1,1,0,1,0,0,38,46000.0,0,1,0,1571,1
328,10,10,5,1,1,1,1,0,0,38,46000.0,0,1,0,1571,1
329,5,5,7,1,0,1,1,0,0,38,46000.0,0,1,0,1571,0
330,5,20,10,0,0,1,0,1,0,38,46000.0,0,1,0,1571,0
331,0,0,4,1,0,1,0,0,1,75,56000.0,1,0,0,1240,0
332,5,5,7,1,0,1,1,0,0,75,56000.0,1,0,0,1240,0
333,5,20,10,0,0,1,0,1,0,75,56000.0,1,0,0,1240,0
334,5,5,5,1,1,1,1,0,0,75,56000.0,1,0,0,1240,1
335,5,5,7,1,0,1,1,0,0,24,38000.0,0,1,0,1520,1
336,2,10,10,1,1,1,0,1,0,24,38000.0,0,1,0,1520,0
337,10,10,7,1,1,0,1,0,0,61,48000.0,0,1,0,1569,1
338,0,0,4,1,0,1,0,0,1,61,48000.0,0,1,0,1569,0
339,5,5,7,1,0,1,1,0,0,61,48000.0,0,1,0,1569,0
340,2,10,10,1,1,1,0,1,0,61,48000.0,0,1,0,1569,0
341,10,10,7,1,1,0,1,0,0,44,68000.0,0,1,0,576,1
342,2,10,10,1,1,1,0,1,0,44,68000.0,0,1,0,576,1
343,0,0,3,1,1,0,0,0,1,44,68000.0,0,1,0,576,0
344,2,10,7,1,0,1,0,1,0,44,68000.0,0,1,0,576,0
345,5,20,10,0,0,1,0,1,0,81,52000.0,1,0,0,747,1
346,3,7,7,1,1,1,0,1,0,81,52000.0,1,0,0,747,1
347,0,0,3,1,1,0,0,0,1,81,52000.0,1,0,0,747,0
348,10,10,5,1,1,1,1,0,0,66,44000.0,0,1,0,1220,0
349,0,0,4,1,0,1,0,0,1,66,44000.0,0,1,0,1220,0
350,5,5,7,1,0,1,1,0,0,66,44000.0,0,1,0,1220,0
351,5,20,10,0,0,1,0,1,0,66,44000.0,0,1,0,1220,1
352,0,0,4,1,0,1,0,0,1,60,77000.0,1,0,0,1591,0
353,3,7,7,1,1,1,0,1,0,60,77000.0,1,0,0,1591,0
354,10,10,7,1,1,0,1,0,0,62,51000.0,1,0,0,1484,1
355,2,10,7,1,0,1,0,1,0,62,51000.0,1,0,0,1484,0
356,5,5,7,1,0,1,1,0,0,86,55000.0,0,1,0,1661,1
357,3,7,7,1,1,1,0,1,0,86,55000.0,0,1,0,1661,0
358,5,5,5,1,1,1,1,0,0,86,55000.0,0,1,0,1661,0
359,10,10,7,1,1,0,1,0,0,66,84000.0,0,1,0,1179,0
360,10,10,5,1,1,1,1,0,0,66,84000.0,0,1,0,1179,0
361,0,0,4,1,0,1,0,0,1,66,84000.0,0,1,0,1179,0
362,3,7,7,1,1,1,0,1,0,66,84000.0,0,1,0,1179,0
363,5,5,5,1,1,1,1,0,0,66,84000.0,0,1,0,1179,1
364,10,10,7,1,1,0,1,0,0,93,115000.0,1,0,0,1529,0
365,10,10,5,1,1,1,1,0,0,93,115000.0,1,0,0,1529,0
366,0,0,4,1,0,1,0,0,1,93,115000.0,1,0,0,1529,0
